review_name,review_time,rating,review_text
ztevetetzuko tetzuko,4 bulan lalu,5 bintang,Tempat yang harus kamu kunjungi ketika kamu ke Osaka. Taman yang indah dan kastil bersejarah yang sangan menarik untuk dikunjungi.
Rully Sugiharto,setahun lalu,5 bintang,"Tempat yang bagus untuk mengenang sejarah panjang Prefektur Osaka terutama, lokasinya mudah dijangkau dengan transportasi umum.
Tempat bersih dan nyaman, sangat cocok untuk tempat berlibur bersama keluarga. Bisa melihat dari dekat Kastil Osaka yang sangat ikonik ini.
Lokasinya luas sehingga puas untuk menikmati pemandangan."
Oscar Sagita,7 bulan lalu,4 bintang,Hari ini full Sakura. Kalo mau lihat Sakura di Osaka setidaknya taman Osaka Castle bisa jadi salah satu pilihan.
Joseph Gabriel,2 tahun lalu,5 bintang,"Taman Istana Osaka, yang juga dikenal sebagai Osaka Castle Park, adalah taman yang luas dan indah yang terletak di pusat kota Osaka, Jepang. Taman ini mengelilingi Istana Osaka, sebuah struktur bersejarah yang menjadi simbol penting kota tersebut.

Sejarah Taman Istana Osaka dapat ditelusuri kembali ke abad ke-16. Pada tahun 1583, Toyotomi Hideyoshi, seorang panglima perang yang berpengaruh pada periode Sengoku di Jepang, memerintahkan pembangunan Istana Osaka dan taman yang mengelilinginya. Tempat ini dianggap sebagai pusat kekuatan politik dan pemerintahan Hideyoshi.

Taman ini meliputi area seluas sekitar 106 hektar dan menawarkan pemandangan yang indah sepanjang tahun. Salah satu ciri khas taman ini adalah kawasan luas yang ditutupi oleh rumput hijau yang rimbun, hutan, dan pepohonan yang menjadikannya tempat yang populer bagi penduduk setempat dan pengunjung untuk bersantai, berjalan-jalan, atau piknik.

Selain keindahan alamnya, Taman Istana Osaka memiliki berbagai fasilitas dan tempat menarik. Salah satunya adalah lapangan yang terletak di depan Istana Osaka, yang sering digunakan untuk berbagai acara dan festival, terutama selama musim bunga sakura pada bulan Maret hingga April. Pada musim ini, pohon-pohon sakura mekar, menciptakan pemandangan yang menakjubkan dan menarik ribuan pengunjung yang ingin menikmati hanami (piknik di bawah pohon sakura).

Di dalam taman, terdapat juga beberapa bangunan penting seperti Otemon Gate, gerbang masuk utama yang mengarah ke Istana Osaka, dan Sengan-yagura, sebuah menara pengawas yang memberikan pandangan yang indah atas taman dan kota. Selain itu, terdapat juga museum yang memamerkan sejarah dan artefak terkait istana.

Taman Istana Osaka bukan hanya tempat wisata, tetapi juga tempat bersejarah yang melambangkan keberanian dan kejayaan masa lalu. Menjelajahi taman ini memberikan kesempatan bagi pengunjung untuk merasakan atmosfer sejarah dan menikmati keindahan alam yang mengelilinginya. Taman Istana Osaka telah menjadi salah satu tujuan wisata yang populer di Osaka dan mendapatkan tempat khusus dalam hati dan identitas kota tersebut."
Octharin,3 tahun lalu,5 bintang,"Tempat yg tepat untuk nongki-nongki menikmati udara pagi atau sore. Bisa juga buat olahraga atau main sama anak. Park nya sangat luas dan banyak jajanan yg dijual disini. Ada toko souvenir juga yg cukup lengkap, buat yg nyari oleh-oleh bisa banget belanja di toko souvenir disini, harganya lumayan terjangkau."
Kartika Rianawati,setahun lalu,5 bintang,"Tempat yang bagus untuk mengenal sejarah Jepang, dan ada bunga2 sakura yg mekar lebih awal di bulan Februari"
Dewi Leila,setahun lalu,5 bintang,"Dari dkt Namba sta ke istana Osaka, naik taksi (bs ber 4) argo 2200 yen, agak jauh.
Awal nov, angin sejuk, tp panas menyengat, jd beli payung dl dimini market. Tamannya sngt luas & bagus, tp kami tdk msk, ckp putar2 taman yg gratis."
Jemmy Satria,7 tahun lalu,5 bintang,"Ini sebuah Benteng Kuno di Osaka yang terkenal, kalo ke osaka jangan lupa mampir ke sini, kalo beli tiket train ke sini isi untuk 1 kali jalan saja, pulangnya beli lagi untuk 1 kali jalan, karena begitu keluar stasiun karcisnya ditelan mesin, pengalaman sisa uang saya di kartu hangus ditelan mesin haha, Castle ini sangat besar .. di sana ada penjual camilan japan juga seperti takoyaki, mie goreng dll di sini kita bisa naik ke menara  nya benteng .. tapi ada biayanya lagi... tempat yang sangat menarik .. bisa memberi makan burung juga..tapi makanannya bawa sendiri ya.."
ZIDNIE TDZKYM,3 tahun lalu,5 bintang,"Taman serta tempat wisata sejarah yang menakjubkan. Saat berlibur kesana disaat musim gugur rasanya menyenangkan. Kebetulan saya berlibur ke osaka castle saat ramai, tapi tidak penuh sesak. Tamannya luas dan ada satu titik yg saya suka, dimana kita bisa melihat semua sudut dr atas dan melihat sungai buatan yg mengelilingi wilayah istana, rasanya kagum sekali..."
BludStory,5 tahun lalu,3 bintang,"tempatnya luas, banyak pohom sakura. sayangnya aku datang bukan saat musim sakura. jadi yang ada hanya hamparan lahan hijau dengan deretan pepohonan tanpa bunga. hanya ada petunjuk bahwa tamanan hijau yang aku lihat ini adalah pohon sakura. pasti bagus kalo pas dapet musimnya."
banyol lee,setahun lalu,5 bintang,"Tempatnya ramai, bersih, toilet bersih, ada tempat makan, ada tempat merokok."
Hokinov,setahun lalu,5 bintang,Cakeeeep banget. Cocok untuk menghabiskan waktu bersama keluarga dan menikmati bekal onigiri 😆
santi sartika,setahun lalu,5 bintang,"Ke 3x kalinya datang kesini.
Tidak pernah bosan dengan keindahannya"
fajar pradipto,setahun lalu,5 bintang,salah satu tempat yang wajib didatangi di osaka..jika bawa keluarga baik nya memakai jasa mobil buggy karena jarak yang ditempuh cukup jauh
Isma Maulidah,7 tahun lalu,5 bintang,"Karena saat ini sedang musim panas,  jalan menuju kesana sangat panas. Tapi disamping castlenya ada tempat duduk dibawah pepohonan jadi bisa ngadem kok.
Tiket masuk kedalam castle sekitar 600 yen."
Basuki Surodjo,7 tahun lalu,5 bintang,"Rekomendasi, lengkap sejarah terkait Samurai dan ceritanya, di lantai bawah ada toko souvenir bisa beli terutama pecinta samurai"
Dharma Zikrullah,2 bulan lalu,5 bintang,Pemandangan bagus kebersihan terpelihara banyak spot foto.
RABS art,5 tahun lalu,5 bintang,Indah dan megah. Menikmati perjalanan yang mengesankan. Seolah-olah membayangkan Jepang zaman kerajaan.
Stefanus rainir,6 tahun lalu,5 bintang,"Osaka Castle, anda bisa naik ke obsevatorium deck,dilantai paling atas untuk melihat sekeliling istana dari ketinggian..keren.."
jackcuw,2 tahun lalu,5 bintang,Osaka Castle adalah tempat museum sejarah jepang terindah yang pernah saya kunjungi. castlenya ada 8 lantai. setiap lantai memiliki kisah2 tentang sejarah jepang yg dikemas dalam bentuk video 3D yang sangat unik dan kreaktif. Pokoknya ga bakal nyesal ketempat ini. Berdiri ditempat ini anda seperti di dalam dongeng
Elida Novita,7 tahun lalu,4 bintang,Hijau dan cukup menyejukkan di tengah udara panas siang hari...banyak tempat duduk utk bersantai...bisa menikmati keindahan dan kemegahan istana dari bawah
Arip Botsi,5 tahun lalu,5 bintang,Luas banget tempatnya. Dan alhamdulillah bisa lihat bunga sakura tumbuh di musim dingin 🤗🤗 …
dyah salsabiel soehardjo,8 tahun lalu,5 bintang,"Taman Kastil Osaka sangat indah, apalagi pas saat musim semi..Wow Subhanallah!! Sangat indah dan romantis dipenuhi dengan bunga Sakura yang mekar secara penuh. Asik buat acara Hanami alias makan bersama di bawah pohon sakura. Dan tentunya keren buat jeprat jepret poto.. pokok ė Never forget!!"
handoko santoso,2 tahun lalu,5 bintang,"Istana raja, areanya di kelilingin taman, indah banget. Kalu ke osaka harus ke sini"
Eko Marto,5 tahun lalu,5 bintang,"Sedih sekaligus senang , sedih karena pengunjung sepi lockdown baru dibuka tapi pengunjung yg mayoritas orang cina belum ada, senang karena sepi , jadi kalau foto lapang ga ada pengganggu"
Bapak Urip,setahun lalu,5 bintang,"Dangat bagus sekali....
Kapn2 sy pengen ke sini lagi. Tmpt nya bagus
Banget..."
